0	0.199111	0.499925	
0.0017173	0.367287	0.499992	
0.00575526	0.442957	0.499995	
0.012097	0.472394	0.499996	
0.0207356	0.499926	0.499997	
0.0316625	0.499872	0.499998	
0.0448667	0.499996	0.499995	
0.0603351	0.499992	0.499997	
0.0780522	0.499995	0.499997	
0.0980004	0.499991	0.499998	
0.12016	0.499976	0.499999	
0.144508	0.499993	0.499999	
0.171021	0.499972	0.499999	
0.199673	0.499998	0.499973	
0.230435	0.499998	0.499988	
0.263275	0.499997	0.499993	
0.298162	0.499997	0.499219	
0.335061	0.499996	0.493831	
0.373935	0.499993	0.489473	
0.414744	0.49998	0.484855	
0.45745	0.468476	0.47415	
0.502008	0.4496	0.447511	
0.548374	0.414693	0.418085	
0.596503	0.390977	0.391381	
0.646346	0.358524	0.355865	
0.697854	0.327568	0.331803	
0.750974	0.296846	0.290988	
0.805656	0.260865	0.267734	
0.861842	0.230521	0.223134	
0.919479	0.191592	0.199051	
0.978508	0.158909	0.153355	
1.03887	0.122716	0.123513	
1.10051	0.081997	0.0819293	
1.16335	0.0505743	0.0490301	
1.22735	0.00817354	0.0119491	
1.29243	-0.000201411	-0.00196032	
1.35854	-0.00448435	-0.0037715	
1.42559	-0.0212	-0.0243034	
1.49354	-0.036512	-0.0396813	
1.5623	-0.0447713	-0.0500253	
1.63182	-0.031481	-0.0343478	
1.70202	-0.00293206	-0.00361913	
1.77283	0.0269853	0.0301532	
1.84418	0.0409471	0.0449687	
1.91601	0.0351012	0.0390558	
1.98823	0.0236983	0.0259549	
2.06078	0.00904785	0.0102228	
2.13358	-0.00149605	-0.00186633	
2.20657	0.000864689	0.00116398	
2.27967	-0.000366978	-0.000615418	
2.3528	-5.50875e-05	0.000157986	
2.42589	-0.000648978	-0.000955853	
2.49888	-0.0168621	-0.018361	
2.57168	-0.0293873	-0.0328275	
2.64423	-0.0388177	-0.0424112	
2.71646	-0.0361357	-0.0408028	
2.78828	-0.0358817	-0.0368852	
2.85963	-0.0923492	-0.0921449	
2.93044	-0.120827	-0.120855	
3.00064	-0.166916	-0.166952	
3.07016	-0.19317	-0.193104	
3.13892	-0.231134	-0.231218	
3.20687	-0.25254	-0.252447	
3.27393	-0.28173	-0.281831	
3.34003	-0.29702	-0.296914	
3.40511	-0.31698	-0.317091	
3.46911	-0.325846	-0.32573	
3.53196	-0.336624	-0.336744	
3.59359	-0.339186	-0.339062	
3.65395	-0.341358	-0.341487	
3.71298	-0.338216	-0.33808	
3.77062	-0.332736	-0.332878	
3.82681	-0.324759	-0.32461	
3.88149	-0.312874	-0.313031	
3.93461	-0.301109	-0.300942	
3.98612	-0.284229	-0.284407	
4.03596	-0.269791	-0.2696	
4.08409	-0.249369	-0.249575	
4.13046	-0.233349	-0.233125	
4.17501	-0.21078	-0.211025	
4.21772	-0.194197	-0.193927	
4.25853	-0.170746	-0.171045	
4.2974	-0.154518	-0.154182	
4.3343	-0.131224	-0.131604	
4.36919	-0.116124	-0.115688	
4.40203	-0.0937155	-0.0942208	
4.43279	-0.0804233	-0.0798294	
4.46144	-0.0594661	-0.0601752	
4.48795	-0.0486484	-0.0477863	
4.5123	-0.0293612	-0.0304317	
4.53446	-0.0216329	-0.0202695	
4.55441	-0.00395412	-0.00574458	
4.57213	-0.000217407	0.00222539	
4.5876	0.0171475	0.0136477	
4.6008	0.0165376	0.0218894	
4.61173	0.036515	0.0275487	
4.62037	0.0239915	0.0412117	
4.62671	0.0605316	0.0195424	
4.63075	-0.0806274	0.161331	
4.63246	-0.499974	0.499976	
