5.00064e-22	-1.83671e-38	
-1.13258e-05	1.26816e-05	
-6.93528e-05	9.07734e-05	
-0.000142753	0.000253478	
-0.000182256	0.000531376	
-0.000131319	0.000973439	
8.64896e-05	0.0016378	
0.000565229	0.00258797	
0.00142207	0.00389149	
0.00279425	0.00561286	
0.00484581	0.00781222	
0.00776232	0.0105355	
0.0117583	0.0138127	
0.0170685	0.0176464	
0.0239555	0.022009	
0.0326967	0.0268322	
0.0435911	0.0319981	
0.0569428	0.037334	
0.073079	0.0424759	
0.0922313	0.0472519	
0.114478	0.0524289	
0.140038	0.058308	
0.169171	0.0649954	
0.202151	0.0725202	
0.23924	0.0809865	
0.280714	0.0904003	
0.326818	0.100901	
0.377853	0.112411	
0.433759	0.125437	
0.492885	0.140278	
0.553661	0.155756	
0.615825	0.171579	
0.679281	0.187718	
0.744002	0.204201	
0.80989	0.220955	
0.876913	0.238028	
0.944967	0.255329	
1.01403	0.27293	
1.08393	0.290692	
1.15433	0.309017	
1.22398	0.329309	
1.29165	0.355833	
1.3569	0.389575	
1.41865	0.430155	
1.47629	0.477357	
1.5288	0.530574	
1.57596	0.589787	
1.62005	0.652885	
1.66385	0.716947	
1.70775	0.780966	
1.75165	0.845112	
1.79553	0.909156	
1.83933	0.973182	
1.88302	1.03698	
1.92646	1.10053	
1.96804	1.1636	
2.00335	1.22896	
2.03112	1.29751	
2.05134	1.36797	
2.06384	1.43963	
2.06876	1.51147	
2.06624	1.58207	
2.05723	1.64783	
2.04321	1.70631	
2.02566	1.75721	
2.00586	1.80069	
1.98507	1.83704	
1.96433	1.86675	
1.94459	1.8904	
1.92659	1.90867	
1.91094	1.92231	
1.89808	1.93205	
1.8883	1.93868	
1.88173	1.94291	
1.87841	1.94545	
1.87825	1.94691	
1.88106	1.94786	
1.88659	1.94874	
1.89455	1.94997	
1.90459	1.95183	
1.91634	1.95454	
1.92947	1.95823	
1.94344	1.96293	
1.95659	1.96818	
1.96748	1.97332	
1.97619	1.97811	
1.98306	1.98245	
1.98835	1.98627	
1.99233	1.98953	
1.99523	1.99223	
1.99727	1.99442	
1.99863	1.99613	
1.99947	1.99742	
1.99995	1.99836	
2.00016	1.99902	
2.0002	1.99946	
2.00016	1.99974	
2.00009	1.99989	
2.00002	1.99998	
2	2	
